comment,sentiment,emotion
I will not fail because of me. I will fail because Nike won’t release enough of these lol,positive,sadness
I love everything about this- I wish Tom Sachs would take over the ACG line- the ACG models used to be so much better than the ones that are currently out. I feel like they were over designed in the past.,positive,joy
"It’s supposed to be about the Mars Yard, but mostly is about endless amounts of talent and perseverance, and about one of the most compelling storylines in the history of fashion. We want a pair 🥺",positive,neutral
Standing by for this release 🤞,neutral,neutral
"“…Nike Craft is for everyone else.”
So we made only 5000 pairs.",neutral,neutral
"Haven't been this excited for a pair in years, what a great video and story!",positive,joy
"Work is the constant, challenges are the work. I’m here ready, with failure never an option.",negative,neutral
Ready to work for them as long as we’re not fighting bots 😂,positive,neutral
I need one of these for every new shoe. Ja2s and Jordan 40s would be super cool.,positive,neutral
So so so incredibly stoked! Let summer camp begin!!,neutral,joy
"Love the thought and mission here. As an artist myself, I really appreciate what you’re creating. Hoping my luck’s good enough to get a pair.",positive,joy
The reward for good work is more work couldn’t ring truer here,positive,neutral
Van Neistat would have crushed this video.  Can’t wait for the shoe!!!,negative,anger
The one shoe I’ve been chasing for years. Hopefully I can get this one.,positive,neutral
It's a shoe. Nike made it appear like they were creating a spacecraft.,positive,neutral
"Love it. Even now improving, just as with us, every day is learning day.",positive,neutral
"let’s goooooooooo!! i’m so hyped, will def be copping as many pairs as possible, i legit wore my 2.0’s until they feel off my feet 🙏🙏🙏🙏",neutral,joy
Love the  vision. Love the shoe. Hate how limited and hard they’ll be to get.,positive,anger
If I take an L on the drop I'm coming directly to you Tom and do as many push-ups to failure as possible,negative,neutral
Manifesting a pair. I need them and will wear them everyday proud,positive,neutral
"They won’t, and you know it",neutral,neutral
 @eddolous how many would be enough?,neutral,surprise
There’s someone who knows what’s up.,neutral,neutral
Find success in that failure,positive,neutral
"""if you want them, you're going to have to work for them."" tell that to the resellers.",positive,neutral
If it was for everyone then it would be for nobody. Nike knows what they are doing.,neutral,neutral
High art is an insurance scam for the rich. Scammers scam...,negative,fear
Casey and Van definitely got inspired from Tom when they work for him before.,positive,neutral
My first though. This is Casey on Steroids. But Sachs came first I get it.,neutral,neutral
He was in it!,neutral,surprise
3 and a half then,neutral,neutral
Tom is a special talent. Hoping to get my hands on a pair of these!,positive,joy
"Can’t wait for the opportunity to make this my everyday shoe.. Mr Sachs, how do we make this happen.",positive,joy
Love it! So Let’s work for it 💪🏼💪🏼💪🏼 let me know what to do 💪🏼💪🏼💪🏼🙌🏼🙌🏼,positive,neutral
good to see him dressed up,positive,joy
Hope they make about 4M pairs so we can all have a good shot of buying for retail 🤞🏽,positive,neutral
"Please release a new GPS, my current favorite shoe.",positive,neutral
Truly amazing story,positive,surprise
Would love to be able to get my hands on these!,positive,joy
Great video! hope to get a pair!🤞,positive,joy
I went to Govenors island for the 2.0 release. It was amazingz,neutral,surprise
Can't wait!,neutral,joy
I sold mine after all the news about how he’s treats his workers,neutral,disgust
Great video! Feels like a Casey Neistat film! I need a pair of these!! What we gotta do Tom!!?!,positive,joy
I need these 😮‍💨😮‍💨,neutral,neutral
Got me hyped for a pair! What a great history on the development and failures along the way.  When can I earn myself a pair?!  Let’s go!,positive,joy
